PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
AGM PRE,AGM,,NR,12/27/2024,,,0.36,5.75%,24.9,21.55,21.72,0.17,-3.18,22.39,23.15,-2.99,-6.19,21.42,24.74,20.31,24.93,35.0,21.5,0.08,-3.24,62.767204,52.465903,84.776632,47.333333,-3.4,-0.05,46.214834,72.514156,-3.43,1.19,49.562044,81.019473,4402,2068,2103,2858
AGM PRF,AGM,,NR,12/27/2024,,,0.33,5.25%,22.5,19.9,20.21,0.31,-2.29,20.67,21.33,-2.22,-5.26,19.81,23.39,17.82,23.99,35.0,20.01,0.2,-3.38,58.257687,48.406983,81.477663,49.351351,-2.49,0.11,36.905371,71.064553,-3.98,2.19,57.591241,71.85567,9715,9096,7245,8685
AGM PRG,AGM,,NR,12/27/2024,,,0.3,4.88%,21.8,18.2,18.91,0.71,-2.89,19.24,19.92,-1.72,-5.08,18.37,22.37,17.16,22.37,35.0,18.73,0.36,-3.64,55.329429,47.621386,77.079038,53.099099,-3.07,0.53,42.838875,67.259343,-3.64,1.57,52.627737,77.537228,9655,8194,6257,8036
AHH PRA,AHH,,NR,1/2/2025,,,0.42,6.75%,26.43,20.5,21.9,1.4,-4.53,21.92,22.49,-0.08,-2.63,19.88,25.76,19.52,25.76,41.0,21.67,1.79,-4.09,45.724744,36.928532,37.766323,59.585586,-4.76,1.17,60.127877,61.460929,-4.09,2.15,59.19708,72.222222,8144,8042,3451,6545
AIZN,AIZ,BB,10,12/27/2024,,,0.33,5.25%,24.0,17.74,20.58,2.84,-3.42,19.87,21.03,3.58,-2.12,18.01,23.14,17.7,23.14,35.0,20.38,2.37,-2.76,24.289898,34.702673,21.821306,40.414414,-3.62,2.64,48.465473,48.142695,-2.76,2.68,39.781022,67.365407,11478,13545,12460,12494
ALL PRH,ALL,,12,12/27/2024,,,0.32,5.10%,24.78,18.74,20.84,2.1,-3.94,21.5,22.34,-3.08,-6.7,19.37,24.97,18.38,24.97,35.0,20.64,1.27,-4.33,63.29429,54.691762,52.061856,63.045045,-4.14,1.9,53.785166,54.847112,-4.33,2.26,62.70073,71.214204,86726,76527,66349,76534
ALL PRI,ALL,,12,12/27/2024,,,0.3,4.75%,24.92,17.85,19.32,1.47,-5.6,19.98,21.06,-3.29,-8.28,18.56,24.49,17.5,24.49,35.0,19.14,0.58,-5.35,64.524158,61.587561,71.030928,77.747748,-5.78,1.29,70.56266,60.373726,-5.35,1.64,77.591241,76.895762,22799,20748,21818,21788
AMH PRG,AMH,,9,12/13/2024,,,0.37,5.88%,25.47,21.43,23.52,2.09,-1.95,23.1,23.36,1.81,0.67,21.76,25.34,21.1,25.34,21.0,23.24,1.48,-2.1,34.65593,22.525914,46.28866,30.900901,-2.23,1.81,34.245524,55.662514,-2.1,2.14,30.145985,72.31386,7724,8444,9298,8489
AMH PRH,AMH,,9,12/13/2024,,,0.39,6.25%,25.85,22.38,24.93,2.55,-0.92,24.17,24.27,3.14,2.72,22.7,26.25,21.74,26.25,21.0,24.63,1.93,-1.62,26.866764,13.578833,33.917526,23.981982,-1.22,2.25,23.913043,51.676104,-1.62,2.89,23.138686,65.441008,8594,7763,8787,8382
ASB PRE,ASB,,10,12/2/2024,,,0.37,5.88%,25.1,16.77,20.57,3.8,-4.53,21.0,21.4,-2.05,-3.87,19.25,23.75,15.75,23.75,10.0,20.24,0.99,-3.51,57.262079,42.340426,59.75945,51.225225,-4.86,3.47,61.150895,40.622877,-3.51,4.49,50.729927,50.778923,3734,3083,3127,3315
ASB PRF,ASB,,10,12/2/2024,,,0.35,5.63%,25.25,16.4,19.7,3.3,-5.55,20.08,20.46,-1.88,-3.73,18.51,22.91,14.91,22.91,10.0,19.39,0.88,-3.52,56.266471,41.729405,62.783505,51.369369,-5.86,2.99,71.381074,44.971687,-3.52,4.48,50.875912,50.870561,6295,4931,4945,5390
ATH PRB,-,,11,12/13/2024,,,0.35,5.63%,25.26,18.0,19.73,1.73,-5.53,20.11,21.26,-1.89,-7.2,18.34,23.53,16.66,23.53,21.0,19.46,1.12,-4.07,56.325037,56.873977,56.185567,59.297297,-5.8,1.46,70.767263,58.833522,-4.07,2.8,58.905109,66.26575,21471,22616,19294,21127
ATH PRD,-,,11,12/13/2024,,,0.3,4.88%,21.69,15.24,17.03,1.79,-4.66,17.4,18.46,-2.12,-7.76,15.86,20.61,15.19,20.61,21.0,16.8,0.94,-3.81,57.672035,59.318058,61.134021,55.54955,-4.89,1.56,61.457801,57.92752,-3.81,1.61,55.109489,77.170676,46068,46278,30146,40830
AXS PRE,AXS,,11.5,12/26/2024,,,0.34,5.50%,24.04,19.26,20.05,0.79,-3.99,20.74,21.56,-3.33,-6.99,19.45,23.66,18.77,23.66,34.0,19.84,0.39,-3.82,64.758419,55.957447,76.254296,55.693694,-4.2,0.58,54.398977,66.806342,-3.82,1.07,55.255474,82.119129,31476,33290,33492,32752
BAC PRB,BAC,,11,10/29/2024,6/16/2023,,0.38,6.00%,25.69,23.02,24.51,1.49,-1.18,24.96,25.1,-1.79,-2.36,24.15,25.63,22.3,25.63,66.0,24.41,0.26,-1.22,55.739385,35.750136,79.828179,18.216216,-1.28,1.39,24.526854,59.467724,-1.22,2.11,17.29927,72.588774,68613,82424,91353,80796
BAC PRK,BAC,,11,1/2/2025,,,0.37,5.88%,25.68,22.0,23.98,1.98,-1.7,24.57,24.84,-2.4,-3.45,23.45,25.43,21.51,25.43,41.0,23.78,0.33,-1.65,59.311859,40.507365,77.90378,24.414414,-1.9,1.78,30.869565,55.934315,-1.65,2.27,23.576642,71.122566,49154,50140,49263,49519
BAC PRM,BAC,,11,12/2/2024,,,0.34,5.38%,25.18,20.7,21.77,1.07,-3.41,22.66,23.29,-3.93,-6.55,21.44,24.88,20.54,24.88,10.0,21.47,0.03,-3.41,68.272328,54.037098,86.151203,49.783784,-3.71,0.77,49.386189,65.084938,-3.41,0.93,49.270073,83.402062,89186,73988,64489,75888
BAC PRN,BAC,,11,12/2/2024,,,0.31,5.00%,23.9,19.25,20.16,0.91,-3.74,21.03,21.9,-4.12,-7.94,19.5,24.04,19.0,24.04,10.0,19.88,0.38,-4.16,69.385066,60.103655,76.52921,60.594595,-4.02,0.63,52.557545,66.353341,-4.16,0.88,60.218978,83.860252,99213,85077,86781,90357
BAC PRO,BAC,,11,10/15/2024,11/3/2025,,0.27,4.38%,21.39,16.54,17.6,1.06,-3.79,18.51,19.39,-4.92,-9.22,17.3,21.54,16.35,21.54,52.0,17.49,0.19,-4.05,74.070278,65.690125,81.752577,59.009009,-3.9,0.95,51.329923,63.454134,-4.05,1.14,58.613139,81.477663,75049,69666,78359,74358
BAC PRP,BAC,,11,10/15/2024,,,0.26,4.12%,20.8,15.57,16.57,1.0,-4.23,17.5,18.32,-5.29,-9.57,16.26,20.58,15.4,20.58,52.0,16.46,0.2,-4.12,76.237189,67.217676,81.477663,60.018018,-4.34,0.89,55.831202,63.997735,-4.12,1.06,59.635036,82.210767,64676,56863,54211,58584
BAC PRQ,BAC,,11,11/1/2024,,,0.27,4.25%,20.46,16.11,16.97,0.86,-3.49,17.94,18.74,-5.38,-9.46,16.74,21.0,15.98,21.0,69.0,16.91,0.17,-4.09,76.764275,66.737589,82.302405,59.585586,-3.55,0.8,47.749361,64.813137,-4.09,0.93,59.19708,83.402062,98613,94976,100299,97963
BAC PRS,BAC,,11,11/1/2024,,,0.3,4.75%,22.49,18.24,19.1,0.86,-3.39,20.08,20.95,-4.87,-8.84,18.78,23.44,17.82,23.44,69.0,19.03,0.25,-4.41,73.777452,64.031642,80.103093,64.198198,-3.46,0.79,46.828645,64.903737,-4.41,1.21,63.868613,80.836197,47670,36646,41386,41901
BCV PRA,BCV,,16,12/16/2024,,,0.34,5.39%,24.69,22.15,22.17,0.03,-2.51,22.41,22.97,-1.04,-3.45,21.51,24.71,21.51,25.26,24.0,21.93,0.42,-2.78,51.346999,40.507365,75.429553,40.702703,-2.76,-0.22,39.667519,74.05436,-3.33,0.42,48.10219,88.075601,1910,1714,1659,1761
BFS PRD,BFS,,NR,12/27/2024,,,0.38,6.13%,24.15,19.3,21.25,1.95,-2.9,21.0,21.42,1.21,-0.81,19.3,23.77,19.01,23.95,35.0,21.02,1.72,-2.75,38.169839,28.98527,39.690722,40.27027,-3.13,1.72,43.452685,56.477916,-2.93,2.01,42.262774,73.505155,4132,3316,861,2770
BFS PRE,BFS,,NR,12/27/2024,,,0.38,6.00%,24.6,18.93,20.85,1.92,-3.75,20.82,21.37,0.15,-2.45,18.34,24.06,18.34,24.49,35.0,20.62,2.28,-3.44,44.377745,36.142935,24.295533,50.216216,-3.98,1.69,52.148338,56.749717,-3.87,2.28,55.985401,71.030928,4833,4518,2934,4095
BHFAL,BHF,BB,10.5,12/2/2024,9/15/2023,,0.39,6.25%,26.35,20.69,20.22,-0.39,-6.05,21.24,22.81,-4.42,-10.99,19.26,25.47,19.1,25.47,10.0,19.95,0.69,-5.52,71.14202,73.415166,68.006873,80.198198,-6.4,-0.74,76.905371,78.765572,-5.52,0.85,80.072993,84.135166,20085,21360,13436,18294
BHFAM,BHF,,10.5,12/6/2024,,,0.29,4.63%,21.13,13.35,14.91,1.56,-6.22,14.81,16.2,0.65,-7.97,13.28,18.95,13.03,18.95,14.0,14.67,1.39,-4.28,41.449488,60.234588,48.762887,62.324324,-6.46,1.32,77.519182,60.101925,-4.28,1.64,61.970803,76.895762,34139,35564,26902,32202
BHFAN,BHF,,10,12/6/2024,,,0.34,5.38%,22.69,15.27,16.25,1.06,-6.36,16.46,18.49,-0.77,-11.67,14.54,21.63,14.54,21.63,14.0,16.04,1.5,-5.59,49.765739,76.382979,45.738832,81.207207,-6.65,0.77,79.462916,65.084938,-5.59,1.5,81.094891,78.178694,62753,68287,57737,62926
BHFAO,BHF,,10,12/6/2024,6/25/2025,,0.42,6.75%,26.51,21.17,20.15,-1.02,-6.36,21.1,23.43,-4.52,-14.01,18.53,26.0,18.53,26.0,14.0,19.8,1.27,-6.2,71.727672,86.595745,52.061856,90.0,-6.71,-1.37,80.076726,84.473386,-6.2,1.27,90.0,80.286369,32342,41254,37178,36925
BHFAP,BHF,,10,12/6/2024,,,0.41,6.60%,26.1,20.01,19.69,-0.32,-6.41,20.68,22.68,-4.77,-13.19,18.38,25.51,18.38,25.51,14.0,19.34,0.96,-6.17,73.191801,83.016912,60.584192,89.567568,-6.76,-0.67,80.588235,78.13137,-6.17,0.96,89.562044,83.127148,31097,36176,33633,33635
BOH PRA,BOH,,12,10/17/2024,8/1/2026,,0.27,4.38%,20.44,13.05,15.47,2.41,-4.98,15.89,16.6,-2.71,-6.85,14.51,19.24,12.86,19.24,54.0,15.35,0.84,-3.89,61.127379,55.346427,63.883162,56.702703,-5.09,2.3,63.503836,51.223103,-3.89,2.49,56.277372,69.106529,8906,6306,4007,6406
BWBBP,BWB,,NR,11/11/2024,8/17/2026,,0.37,5.88%,23.52,16.57,18.7834,2.24,-4.71,19.14,19.06,-1.73,-1.33,18.1,22.0,14.48,22.0,79.0,18.76,0.66,-3.24,55.387994,31.254774,68.831615,47.333333,-4.76,2.19,60.127877,52.219706,-3.24,4.28,46.788321,52.703322,3211,2213,1308,2244
CADE PRA,CADE,,NR,11/1/2024,11/20/2024,,0.34,5.50%,24.16,16.69,20.88,4.19,-3.28,21.16,21.18,-1.34,-1.43,19.6,23.49,16.13,23.49,69.0,20.8,1.2,-2.69,53.103953,31.691217,53.986254,39.405405,-3.36,4.11,45.805627,34.824462,-2.69,4.67,38.759124,49.129439,9639,11241,13238,11373
CFG PRE,CFG,,10,12/18/2024,,,0.31,5.00%,22.34,16.2,19.2,3.0,-3.14,19.61,20.38,-2.09,-5.81,17.99,23.38,15.17,23.38,26.0,18.98,0.99,-4.4,57.49634,50.80742,59.75945,64.054054,-3.36,2.78,45.805627,46.874292,-4.4,3.81,63.722628,57.010309,32336,35357,27936,31876
CFR PRB,CFR,,11.5,11/27/2024,,,0.28,4.45%,21.8,15.89,17.73,1.84,-4.07,17.72,18.78,0.05,-5.58,16.34,22.15,15.6,22.15,5.0,17.47,1.13,-4.68,44.963397,49.803601,55.910653,68.09009,-4.33,1.58,55.7289,57.746319,-4.68,1.87,67.810219,74.788087,9407,10277,8416,9367
CIM PRA,CIM,,NR,12/11/2024,10/21/2021,,0.5,8.00%,22.82,18.15,22.32,4.17,-0.5,21.96,22.52,1.62,-0.87,19.85,24.56,17.33,24.56,19.0,21.93,2.08,-2.63,35.768668,29.247136,29.793814,38.540541,-0.89,3.78,20.537084,37.81427,-2.63,4.6,37.883212,49.770905,9499,10303,6691,8831
CIO PRA,CIO,,NR,1/8/2025,9/15/2021,,0.41,6.63%,24.0,15.06,19.22,4.17,-4.77,18.53,18.58,3.75,3.51,16.86,21.06,14.16,21.79,47.0,19.03,2.17,-2.03,23.29429,10.130933,27.319588,29.891892,-4.97,3.97,62.276215,36.092865,-2.76,4.87,39.781022,47.296678,12294,5522,3307,7041
CLDT PRA,CLDT,,NR,12/27/2024,,,0.41,6.63%,24.33,19.64,20.61,0.97,-3.72,20.54,21.54,0.36,-4.33,18.18,24.49,18.18,24.49,35.0,20.36,2.18,-4.13,43.147877,44.348063,27.044674,60.162162,-3.97,0.72,52.046036,65.537939,-4.13,2.18,59.781022,71.947308,5394,5812,4932,5379
CMS PRC,CMS,,10.5,1/2/2025,,,0.26,4.20%,20.81,17.98,16.95,-1.03,-3.86,17.51,18.63,-3.2,-9.03,16.06,20.92,16.06,21.68,41.0,16.81,0.75,-4.11,63.997072,64.860884,66.357388,59.873874,-4.0,-1.17,52.352941,82.661382,-4.87,0.75,70.583942,85.051546,18811,16055,12225,15697
CMSA,CMS,BB,11.5,11/29/2024,3/15/2023,,0.35,5.63%,26.19,21.25,,0.17,-4.77,22.15,23.57,-3.28,-9.11,20.66,25.53,20.66,25.53,7.0,21.1,0.44,-4.43,64.465593,65.210038,74.879725,64.486486,-5.09,-0.15,63.503836,73.420159,-4.43,0.44,64.160584,87.892325,10497,12133,13140,11924
CMSC,CMS,BB,11.5,12/27/2024,10/15/2023,,0.37,5.88%,25.19,21.74,22.16,0.42,-3.03,22.84,23.92,-2.97,-7.37,21.28,25.36,21.28,25.36,35.0,21.93,0.65,-3.43,62.650073,57.61593,69.106529,50.072072,-3.26,0.19,44.782609,70.339751,-3.43,0.65,49.562044,85.967927,22098,28668,39328,30031
CMSD,CMS,BB,11.5,11/15/2024,,,0.37,5.88%,25.59,21.91,22.17,0.26,-3.42,23.05,24.01,-3.83,-7.66,21.72,25.3,21.72,25.31,83.0,22.14,0.42,-3.16,67.686676,58.881615,75.429553,46.18018,-3.45,0.23,46.726343,69.97735,-3.17,0.42,45.766423,88.075601,43405,42685,45777,43956
CNO PRA,CNO,BB,NR,11/15/2024,11/25/2025,,0.32,5.13%,22.08,14.95,17.54,2.59,-4.54,18.99,20.03,-7.64,-12.45,16.54,22.22,14.56,22.53,83.0,17.52,0.98,-4.7,90.0,79.787234,60.034364,68.378378,-4.56,2.57,58.081841,48.776897,-5.01,2.96,72.627737,64.799542,1523,1688,1302,1504
COF PRI,COF,,10,11/13/2024,,,0.31,5.00%,23.21,16.12,19.05,2.93,-4.16,19.37,20.03,-1.67,-4.88,17.75,22.04,15.65,22.04,81.0,19.02,1.27,-3.02,55.036603,46.7485,52.061856,44.162162,-4.19,2.9,54.296675,45.787089,-3.02,3.37,43.576642,61.042383,104414,100232,88069,97571
COF PRJ,COF,,10,11/13/2024,,,0.3,4.80%,21.9,15.54,18.14,2.6,-3.76,18.53,19.11,-2.08,-5.08,16.97,20.85,15.05,20.85,81.0,18.11,1.14,-2.74,57.437775,47.621386,55.635739,40.126126,-3.79,2.57,50.204604,48.776897,-2.74,3.06,39.489051,63.883162,100094,98177,65506,87926
COF PRK,COF,,10,11/13/2024,,,0.29,4.63%,22.17,14.99,17.66,2.67,-4.51,17.93,18.84,-1.48,-6.29,16.46,21.07,14.64,21.07,81.0,17.63,1.17,-3.44,53.923865,52.902346,54.810997,50.216216,-4.54,2.64,57.877238,48.142695,-3.44,2.99,49.708029,64.524628,8615,9703,6031,8116
COF PRL,COF,,10,11/13/2024,,,0.27,4.38%,20.06,13.84,16.7,2.86,-3.36,16.95,17.81,-1.46,-6.24,15.42,20.16,13.57,20.16,81.0,16.67,1.25,-3.49,53.806735,52.684124,52.611684,50.936937,-3.39,2.83,46.112532,46.421291,-3.49,3.1,50.437956,63.516609,47085,44641,36536,42754
COF PRN,COF,,10,11/13/2024,,,0.27,4.25%,19.94,13.68,16.54,2.86,-3.4,16.6,17.33,-0.37,-4.55,15.15,19.81,13.26,19.81,81.0,16.51,1.36,-3.3,47.423133,45.308238,49.587629,48.198198,-3.43,2.83,46.521739,46.421291,-3.3,3.25,47.664234,62.142039,33194,30051,21749,28331
CUBB,CUBI,BB,NR,12/13/2024,,,0.34,5.38%,23.56,18.75,20.36,1.61,-3.2,19.81,19.92,2.75,2.2,18.3,21.85,16.5,22.0,21.0,20.1,1.8,-1.75,29.150805,15.848336,37.491409,25.855856,-3.46,1.35,46.828645,59.830125,-1.9,3.6,27.226277,58.934708,2288,2837,2262,2462
DCOMP,DCOM,,8,11/5/2024,2/15/2025,,0.34,5.50%,22.38,14.51,18.89,4.37,-3.5,19.31,18.99,-2.21,-0.56,17.51,21.44,13.3,21.44,73.0,18.82,1.31,-2.62,58.199122,27.894163,50.962199,38.396396,-3.56,4.31,47.851662,33.012458,-2.62,5.52,37.737226,41.340206,6032,4343,4083,4819
DLR PRJ,DLR,,10.5,12/13/2024,,,0.33,5.25%,25.38,19.55,21.37,1.82,-4.01,21.31,22.23,0.3,-3.86,20.02,24.63,19.06,24.63,21.0,21.12,1.1,-3.51,43.499268,42.296781,56.735395,51.225225,-4.26,1.57,55.012788,57.83692,-3.51,2.06,50.729927,73.046964,12968,13618,10308,12298
DLR PRK,DLR,,10.5,12/13/2024,,,0.37,5.88%,26.4,22.0,23.22,1.22,-3.18,23.54,24.17,-1.35,-3.92,22.1,25.61,21.4,25.61,21.0,22.94,0.84,-2.67,53.162518,42.558647,63.883162,39.117117,-3.46,0.94,46.828645,63.544734,-2.67,1.54,38.467153,77.812142,13726,15636,26698,18687
DLR PRL,DLR,,10.5,12/13/2024,,,0.33,5.20%,25.37,19.32,20.56,1.24,-4.81,20.78,21.89,-1.05,-6.07,19.61,24.45,19.01,24.45,21.0,20.31,0.7,-4.14,51.405564,51.942171,67.731959,60.306306,-5.06,0.99,63.196931,63.091733,-4.14,1.3,59.927007,80.011455,18512,23131,17889,19844
DTB,DTE,BB,11.5,12/27/2024,,,0.27,4.38%,22.29,17.3,17.39,0.09,-4.9,18.14,19.36,-4.11,-10.16,16.98,21.9,16.98,22.86,35.0,17.23,0.25,-4.67,69.326501,69.79269,80.103093,67.945946,-5.06,-0.07,63.196931,72.695357,-5.63,0.25,81.678832,89.633448,14381,12277,11516,12725
DTG,DTE,BB,11.5,11/15/2024,,,0.27,4.38%,20.89,17.32,17.33,0.01,-3.56,18.13,19.43,-4.39,-10.8,16.88,22.05,16.88,22.25,83.0,17.31,0.43,-4.74,70.966325,72.585925,75.154639,68.954955,-3.58,-0.01,48.056266,72.151755,-4.94,0.43,71.605839,87.983963,21796,23542,16612,20650
DTW,DTE,BB,11.5,11/15/2024,12/1/2022,,0.33,5.25%,25.42,20.88,21.37,0.48,-4.06,22.01,23.02,-2.97,-7.22,20.55,25.11,20.42,25.17,83.0,21.33,0.78,-3.78,62.650073,56.961266,65.532646,55.117117,-4.09,0.45,53.273657,67.984145,-3.84,0.91,55.547445,83.585338,22355,19050,15083,18829
DUK PRA,DUK,,11,11/15/2024,,,0.36,5.75%,26.49,22.91,24.78,1.87,-1.71,24.9,25.0,-0.46,-0.86,24.06,25.66,22.71,25.73,83.0,24.75,0.69,-0.91,47.95022,29.203492,68.006873,13.747748,-1.74,1.84,29.232737,55.390713,-0.98,2.04,13.79562,73.230241,57602,62023,51006,56877
DUKB,DUK,BB,12,12/13/2024,,,0.35,5.63%,26.08,21.93,24.92,2.99,-1.16,24.51,24.69,1.66,0.93,23.3,25.47,21.8,25.59,21.0,24.65,1.35,-0.82,35.534407,21.391162,49.862543,12.45045,-1.43,2.72,26.061381,47.417894,-0.94,2.85,13.211679,65.80756,25702,29362,27142,27402
ECF PRA,ECF,,16,12/16/2024,,,0.33,5.25%,24.84,21.83,21.57,-0.26,-3.27,22.05,22.52,-2.17,-4.22,20.21,24.43,20.21,24.43,24.0,21.33,1.12,-3.1,57.964861,43.867976,56.185567,45.315315,-3.51,-0.5,47.340153,76.591166,-3.1,1.12,44.744526,81.660939,1841,1006,977,1275
EFSCP,EFSC,,NR,11/27/2024,,,0.31,5.00%,21.75,15.4,19.11,3.75,-2.6,18.96,19.63,0.98,-2.44,17.2,22.22,13.68,22.22,5.0,18.86,1.66,-3.36,39.516837,36.099291,41.340206,49.063063,-2.89,3.46,40.997442,40.713477,-3.36,5.18,48.540146,44.455899,2603,2453,2304,2453
ELC,ETR,BB,15,11/29/2024,,,0.3,4.88%,25.3,20.02,20.5,0.48,-4.8,20.93,21.74,-2.05,-5.72,19.93,23.43,19.86,23.59,7.0,20.22,0.29,-3.21,57.262079,50.414621,79.003436,46.900901,-5.08,0.2,63.401535,70.249151,-3.37,0.36,48.686131,88.62543,13611,10793,9926,11444
EMP,ETR,BB,14.5,12/27/2024,,,0.31,4.90%,25.3,20.07,20.57,0.5,-4.73,21.01,21.97,-2.11,-6.38,20.01,23.61,19.9,24.23,35.0,20.38,0.37,-3.23,57.61347,53.295145,76.804124,47.189189,-4.92,0.31,61.764706,69.252548,-3.85,0.48,55.693431,87.525773,12317,11458,13314,12363
ENJ,ETR,BB,14.5,11/29/2024,12/1/2017,,0.31,5.00%,24.79,19.49,20.52,1.03,-4.27,21.02,21.8,-2.39,-5.87,20.02,24.59,19.31,24.59,7.0,20.23,0.21,-4.36,59.253294,51.069285,81.202749,63.477477,-4.56,0.74,58.081841,65.356738,-4.36,0.92,63.138686,83.4937,1724,1596,869,1396
ENO,ETR,BB,13,12/27/2024,,,0.34,5.50%,25.4,20.75,22.27,1.52,-3.13,22.21,23.14,0.29,-3.74,21.21,25.32,20.5,25.32,35.0,22.06,0.85,-3.26,43.557833,41.77305,63.608247,47.621622,-3.34,1.31,45.601023,60.192525,-3.26,1.56,47.080292,77.628866,7679,9277,5497,7484
EQH PRA,EQH,,10.5,11/29/2024,,,0.33,5.25%,23.77,17.79,20.13,2.34,-3.64,20.77,21.79,-3.1,-7.64,18.41,23.89,17.26,23.89,7.0,19.83,1.42,-4.06,63.41142,58.794326,47.938144,59.153153,-3.94,2.04,51.73913,53.578709,-4.06,2.57,58.759124,68.373425,45386,46900,52007,48098
