"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"NTRSO","NTRS","","13","12/13/2024","","","0.290000","4.70%","24.850000","18.300000","19.660000","1.530000","-5.020000","20.090000","21.040000","-1.280000","-5.730000","19.100000","24.290000","18.100000","24.290000","21.000000","19.610000","0.510000","-4.680000","52.752562","50.458265","72.955326","68.090090","-5.240000","1.310000","65.038363","60.192525","-4.680000","1.510000","67.810219","78.087056"
"NYMTZ","NYMT","","NR","1/2/2025","","","0.440000","7.00%","19.780000","16.600000","18.250000","1.590000","-1.590000","18.810000","19.330000","-3.310000","-5.920000","16.750000","21.750000","15.310000","21.750000","41.000000","17.950000","1.200000","-3.800000","64.641288","51.287507","53.986254","55.405405","-1.830000","1.350000","30.153453","59.830125","-3.800000","2.640000","54.963504","67.731959"
"OPP PRA","OPP","","16","11/1/2024","","","0.270000","4.38%","20.870000","16.980000","17.600000","0.620000","-3.270000","18.290000","18.710000","-3.790000","-5.910000","16.540000","20.210000","16.540000","20.210000","69.000000","17.540000","1.000000","-2.670000","67.452416","51.243863","59.484536","39.117117","-3.330000","0.560000","45.498721","66.987542","-2.670000","1.000000","38.467153","82.760596"
"OPP PRB","OPP","","16","11/1/2024","2/15/2027","","0.300000","4.75%","21.430000","18.700000","19.210000","0.510000","-2.220000","19.860000","20.080000","-3.290000","-4.310000","18.340000","21.860000","18.310000","22.310000","69.000000","19.140000","0.800000","-2.720000","64.524158","44.260775","64.982818","39.837838","-2.290000","0.440000","34.859335","68.074745","-3.170000","0.830000","45.766423","84.318442"
"OZKAP","OZK","","9","11/1/2024","11/15/2026","","0.290000","4.63%","20.780000","14.610000","16.250000","1.690000","-4.480000","16.960000","17.090000","-3.910000","-4.650000","15.750000","19.880000","14.370000","19.880000","69.000000","16.230000","0.480000","-3.650000","68.155198","45.744681","73.780069","53.243243","-4.550000","1.620000","57.979540","57.383918","-3.650000","1.860000","52.773723","74.879725"
"PEB PRE","PEB","","NR","12/27/2024","","","0.400000","6.38%","24.710000","18.320000","18.120000","-0.200000","-6.590000","18.470000","20.510000","-1.890000","-11.650000","16.270000","23.220000","16.270000","23.220000","35.000000","17.880000","1.610000","-5.340000","56.325037","76.295690","42.714777","77.603604","-6.830000","-0.440000","81.304348","76.047565","-5.340000","1.610000","77.445255","77.170676"
"PEB PRF","PEB","","NR","12/27/2024","","","0.390000","6.30%","23.520000","18.560000","18.350000","-0.210000","-5.170000","18.610000","20.550000","-1.420000","-10.690000","16.850000","23.750000","16.850000","23.750000","35.000000","18.110000","1.260000","-5.640000","53.572474","72.105837","52.336770","81.927928","-5.410000","-0.450000","66.777494","76.138165","-5.640000","1.260000","81.824818","80.378007"
"PEB PRG","PEB","","NR","12/27/2024","","","0.400000","6.38%","23.400000","18.000000","18.100000","0.100000","-5.300000","18.650000","20.280000","-2.970000","-10.750000","16.600000","23.180000","16.600000","23.180000","35.000000","17.860000","1.260000","-5.320000","62.650073","72.367703","52.336770","77.315315","-5.540000","-0.140000","68.107417","73.329558","-5.320000","1.260000","77.153285","80.378007"
"PEB PRH","PEB","","NR","12/27/2024","","","0.360000","5.70%","21.010000","16.380000","16.950000","0.570000","-4.060000","17.060000","18.380000","-0.650000","-7.800000","15.510000","21.120000","15.020000","21.120000","35.000000","16.730000","1.220000","-4.390000","49.062958","59.492635","53.436426","63.909910","-4.280000","0.350000","55.217391","68.890147","-4.390000","1.710000","63.576642","76.254296"
"PFH","PRU","BB","13","11/15/2024","9/1/2025","","0.260000","4.13%","22.610000","17.350000","17.140000","-0.210000","-5.470000","17.930000","19.130000","-4.380000","-10.410000","16.840000","21.590000","16.840000","21.590000","83.000000","17.120000","0.280000","-4.470000","70.907760","70.883797","79.278351","65.063063","-5.490000","-0.230000","67.595908","74.144960","-4.470000","0.280000","64.744526","89.358534"
"PRH","PRU","BB","13","11/15/2024","","","0.370000","5.95%","","23.790000","24.640000","0.850000","","24.880000","25.570000","-0.970000","-3.640000","23.590000","26.890000","23.170000","26.950000","83.000000","24.610000","1.020000","-2.280000","50.937042","41.336607","58.934708","33.495495","","0.820000","","64.631937","-2.340000","1.440000","33.649635","78.728522"
"PRS","PRU","BB","13","11/1/2024","8/15/2023","","0.350000","5.63%","26.160000","22.520000","23.030000","0.510000","-3.130000","23.360000","24.230000","-1.400000","-4.940000","22.350000","25.420000","22.310000","25.420000","69.000000","22.950000","0.600000","-2.470000","53.455344","47.010366","70.481100","36.234234","-3.210000","0.430000","44.271100","68.165345","-2.470000","0.640000","35.547445","86.059565"
"PSA PRF","PSA","","13.5","12/12/2024","","","0.320000","5.15%","25.840000","20.870000","20.920000","0.050000","-4.920000","21.490000","22.900000","-2.670000","-8.660000","19.870000","25.110000","19.870000","25.110000","20.000000","20.670000","0.800000","-4.440000","60.893119","63.246045","64.982818","64.630631","-5.170000","-0.200000","64.322251","73.873160","-4.440000","0.800000","64.306569","84.593356"
"PSA PRG","PSA","","13.5","12/12/2024","","","0.320000","5.05%","25.870000","21.110000","20.850000","-0.250000","-5.010000","21.350000","22.710000","-2.280000","-8.140000","19.990000","25.000000","19.990000","25.060000","20.000000","20.610000","0.620000","-4.390000","58.609078","60.976541","69.931271","63.909910","-5.260000","-0.500000","65.242967","76.591166","-4.450000","0.620000","64.452555","86.242841"
"PSA PRH","PSA","","13.5","12/12/2024","","","0.350000","5.60%","26.960000","22.760000","22.800000","0.040000","-4.160000","23.360000","24.390000","-2.380000","-6.510000","20.850000","25.700000","20.850000","26.100000","20.000000","22.530000","1.680000","-3.170000","59.194729","53.862520","40.790378","46.324324","-4.430000","-0.230000","56.751918","74.144960","-3.570000","1.680000","51.605839","76.529210"
"PSA PRI","PSA","","13.5","12/12/2024","","","0.300000","4.88%","25.800000","19.440000","19.670000","0.230000","-6.130000","20.330000","21.650000","-3.250000","-9.160000","19.080000","23.720000","19.080000","23.940000","20.000000","19.440000","0.360000","-4.280000","64.289898","65.428260","77.079038","62.324324","-6.360000","0.000000","76.496164","72.061155","-4.500000","0.360000","65.182482","88.625430"
"PSA PRJ","PSA","","13.5","12/12/2024","","","0.290000","4.70%","25.080000","18.250000","18.930000","0.680000","-6.150000","19.530000","20.740000","-3.080000","-8.720000","18.330000","23.210000","17.940000","23.210000","20.000000","18.700000","0.370000","-4.510000","63.294290","63.507911","76.804124","65.639640","-6.380000","0.450000","76.700767","67.984145","-4.510000","0.760000","65.328467","84.959908"
"PSA PRK","PSA","","13.5","12/12/2024","","","0.300000","4.75%","25.800000","18.400000","19.310000","0.910000","-6.490000","19.750000","20.930000","-2.250000","-7.740000","18.570000","23.210000","18.160000","23.210000","20.000000","19.080000","0.510000","-4.130000","58.433382","59.230769","72.955326","60.162162","-6.720000","0.680000","80.179028","65.900340","-4.130000","0.920000","59.781022","83.493700"
"PSA PRL","PSA","","13.5","12/12/2024","","","0.290000","4.63%","24.840000","18.170000","18.860000","0.690000","-5.980000","19.310000","20.430000","-2.350000","-7.700000","17.520000","22.890000","17.520000","22.890000","20.000000","18.630000","1.110000","-4.260000","59.019034","59.056192","56.460481","62.036036","-6.210000","0.460000","74.961637","67.893545","-4.260000","1.110000","61.678832","81.752577"
"PSA PRM","PSA","","13.5","12/12/2024","","","0.260000","4.13%","22.790000","16.050000","16.850000","0.800000","-5.940000","17.310000","18.410000","-2.680000","-8.460000","16.280000","20.790000","15.820000","20.790000","20.000000","16.650000","0.370000","-4.140000","60.951684","62.373159","76.804124","60.306306","-6.140000","0.600000","74.245524","66.625142","-4.140000","0.830000","59.927007","84.318442"
"PSA PRN","PSA","","13.5","12/12/2024","","","0.240000","3.88%","21.020000","15.120000","15.760000","0.640000","-5.260000","16.210000","17.140000","-2.760000","-8.080000","15.360000","19.230000","14.900000","19.230000","20.000000","15.570000","0.210000","-3.660000","61.420205","60.714675","81.202749","53.387387","-5.450000","0.450000","67.186701","67.984145","-3.660000","0.670000","52.919708","85.784651"
"PSA PRO","PSA","","13.5","12/12/2024","11/17/2025","","0.240000","3.90%","20.290000","15.530000","15.900000","0.370000","-4.390000","16.290000","17.210000","-2.420000","-7.630000","15.400000","19.130000","15.100000","19.140000","20.000000","15.710000","0.310000","-3.420000","59.428990","58.750682","78.453608","49.927928","-4.580000","0.180000","58.286445","70.430351","-3.430000","0.610000","49.562044","86.334479"
"PSA PRP","PSA","","13.5","12/12/2024","","","0.250000","4.00%","20.880000","15.540000","16.100000","0.560000","-4.780000","16.680000","17.710000","-3.460000","-9.080000","15.390000","19.990000","15.370000","19.990000","20.000000","15.910000","0.520000","-4.080000","65.519766","65.079105","72.680412","59.441441","-4.970000","0.370000","62.276215","68.708947","-4.080000","0.540000","59.051095","86.975945"
"PSA PRQ","PSA","","13.5","12/12/2024","","","0.250000","3.95%","20.840000","15.310000","15.890000","0.580000","-4.950000","16.390000","17.410000","-3.050000","-8.720000","15.430000","19.470000","15.170000","19.470000","20.000000","15.700000","0.270000","-3.770000","63.118594","63.507911","79.553265","54.972973","-5.140000","0.390000","64.015345","68.527746","-3.770000","0.530000","54.525547","87.067583"
"PSA PRR","PSA","","13.5","12/12/2024","","","0.250000","4.00%","20.780000","15.590000","16.120000","0.530000","-4.660000","16.640000","17.770000","-3.110000","-9.260000","15.680000","20.160000","15.380000","20.160000","20.000000","15.930000","0.250000","-4.230000","63.469985","65.864703","80.103093","61.603604","-4.850000","0.340000","61.048593","68.980747","-4.230000","0.550000","61.240876","86.884307"
"PSA PRS","PSA","","13.5","12/12/2024","","","0.260000","4.10%","21.150000","15.830000","16.530000","0.710000","-4.610000","17.040000","18.170000","-2.950000","-9.000000","14.180000","20.470000","14.180000","20.470000","20.000000","16.340000","2.160000","-4.130000","62.532943","64.729951","27.594502","60.162162","-4.810000","0.510000","60.639386","67.440544","-4.130000","2.160000","59.781022","72.130584"
"PSEC PRA","PSEC","","9","10/16/2024","7/19/2026","","0.330000","5.35%","19.550000","15.210000","17.290000","2.090000","-2.250000","16.320000","17.670000","6.020000","-2.090000","14.580000","21.540000","14.040000","21.540000","53.000000","17.160000","2.580000","-4.380000","10.000000","34.571740","16.048110","63.765766","-2.390000","1.950000","35.882353","54.394111","-4.380000","3.120000","63.430657","63.333333"
"REGCO","REG","","NR","10/16/2024","","","0.370000","5.88%","","21.850000","22.800000","0.920000","","22.470000","22.720000","1.330000","0.200000","21.430000","24.700000","21.200000","24.900000","53.000000","22.620000","1.190000","-2.080000","37.467057","24.577196","54.261168","30.612613","","0.770000","","65.084938","-2.280000","1.420000","32.773723","78.911798"
"REGCP","REG","","NR","10/16/2024","","","0.390000","6.25%","","23.100000","23.680000","0.220000","","23.470000","23.730000","-0.640000","-1.740000","21.880000","25.630000","21.880000","25.630000","53.000000","23.160000","1.280000","-2.470000","49.004392","33.044190","51.786942","36.234234","","0.060000","","71.517554","-2.470000","1.280000","35.547445","80.194731"
"REXR PRB","REXR","","NR","12/13/2024","","","0.370000","5.88%","25.390000","21.160000","23.030000","1.870000","-2.360000","23.100000","22.760000","-0.300000","1.180000","22.210000","24.570000","20.600000","24.570000","21.000000","22.750000","0.540000","-1.820000","47.013177","20.300055","72.130584","26.864865","-2.640000","1.590000","38.439898","57.655719","-1.820000","2.150000","26.058394","72.222222"
"REXR PRC","REXR","","NR","11/15/2024","","","0.350000","5.63%","26.100000","20.050000","21.850000","1.800000","-4.250000","21.750000","21.950000","0.440000","-0.480000","20.130000","24.540000","19.710000","24.540000","83.000000","21.820000","1.690000","-2.720000","42.679356","27.545008","40.515464","39.837838","-4.280000","1.770000","55.217391","56.024915","-2.720000","2.110000","39.197080","72.588774"
"RF PRE","RF","","10","11/27/2024","","","0.280000","4.45%","20.690000","15.450000","17.410000","1.960000","-3.280000","17.660000","18.230000","-1.420000","-4.500000","16.410000","19.980000","14.160000","19.980000","5.000000","17.150000","0.740000","-2.830000","53.572474","45.090016","66.632302","41.423423","-3.540000","1.700000","47.647059","56.659117","-2.830000","2.990000","40.802920","64.524628"
"RNR PRF","RNR","","12","11/27/2024","","","0.360000","5.75%","25.110000","20.710000","21.110000","0.400000","-4.000000","22.030000","23.260000","-4.200000","-9.260000","20.800000","25.080000","20.430000","25.100000","5.000000","20.770000","-0.030000","-4.310000","69.853587","65.864703","87.800687","62.756757","-4.340000","0.060000","55.831202","71.517554","-4.330000","0.340000","62.700730","88.808706"
"RNR PRG","RNR","","12","11/27/2024","","","0.260000","4.20%","20.020000","15.350000","15.600000","0.250000","-4.420000","16.180000","17.430000","-3.570000","-10.510000","14.260000","18.970000","14.260000","19.460000","5.000000","15.350000","1.090000","-3.620000","66.163982","71.320240","57.010309","52.810811","-4.670000","0.000000","59.207161","72.061155","-4.110000","1.090000","59.489051","81.935853"
"SCE PRG","EIX","TP","10","12/13/2024","","","0.320000","5.10%","20.730000","17.200000","16.950000","-0.250000","-3.780000","17.700000","19.620000","-4.230000","-13.610000","16.320000","21.690000","16.320000","21.700000","21.000000","16.700000","0.380000","-4.990000","70.029283","84.849973","76.529210","72.558559","-4.030000","-0.500000","52.659847","76.591166","-5.000000","0.380000","72.481752","88.442153"
"SCE PRL","EIX","TP","10","12/13/2024","","","0.310000","5.00%","20.240000","16.940000","16.540000","-0.400000","-3.700000","17.320000","19.210000","-4.510000","-13.890000","15.980000","21.090000","15.980000","21.320000","21.000000","16.300000","0.320000","-4.790000","71.669107","86.072013","78.178694","69.675676","-3.940000","-0.640000","51.739130","77.859570","-5.020000","0.320000","72.773723","88.991982"
"SCHW PRD","SCHW","","12","11/13/2024","","","0.370000","5.95%","25.940000","22.650000","24.750000","2.100000","-1.190000","25.050000","25.180000","-1.210000","-1.690000","24.250000","25.710000","22.290000","25.710000","81.000000","24.710000","0.460000","-1.000000","52.342606","32.825968","74.329897","15.045045","-1.230000","2.060000","24.015345","53.397508","-1.000000","2.420000","14.087591","69.747995"
"SCHW PRJ","SCHW","","12","11/13/2024","","","0.280000","4.45%","23.400000","16.750000","19.130000","2.380000","-4.270000","19.470000","20.380000","-1.750000","-6.120000","18.330000","22.600000","16.630000","22.600000","81.000000","19.100000","0.770000","-3.500000","55.505124","52.160393","65.807560","51.081081","-4.300000","2.350000","55.421995","50.770102","-3.500000","2.470000","50.583942","69.289805"
"SF PRB","SF","","8","12/2/2024","","","0.390000","6.25%","26.940000","22.010000","24.300000","2.290000","-2.640000","24.190000","24.570000","0.440000","-1.100000","22.220000","25.440000","21.560000","25.730000","10.000000","23.950000","1.730000","-1.490000","42.679356","30.250955","39.415808","22.108108","-2.990000","1.940000","42.020460","54.484711","-1.780000","2.390000","25.474453","70.022910"
"SF PRC","SF","","8","12/2/2024","","","0.380000","6.13%","27.000000","22.120000","23.670000","1.560000","-3.320000","24.010000","24.530000","-1.370000","-3.450000","21.810000","26.470000","21.270000","26.470000","10.000000","23.340000","1.530000","-3.130000","53.279649","40.507365","44.914089","45.747748","-3.660000","1.220000","48.874680","61.007928","-3.130000","2.070000","45.182482","72.955326"
"SF PRD","SF","","8","12/2/2024","","","0.280000","4.50%","20.540000","15.640000","18.120000","2.480000","-2.420000","17.700000","18.620000","2.340000","-2.700000","15.850000","21.740000","15.000000","21.740000","10.000000","17.870000","2.020000","-3.870000","31.551977","37.234043","31.443299","56.414414","-2.670000","2.230000","38.746803","51.857305","-3.870000","2.870000","55.985401","65.624284"
"SHO PRH","SHO","","NR","12/27/2024","","","0.380000","6.13%","23.750000","20.400000","20.870000","0.470000","-2.880000","20.860000","21.730000","0.050000","-3.960000","19.140000","24.270000","19.140000","24.270000","35.000000","20.640000","1.500000","-3.630000","44.963397","42.733224","45.738832","52.954955","-3.110000","0.240000","43.248082","69.886750","-3.630000","1.500000","52.481752","78.178694"
"SHO PRI","SHO","","NR","12/27/2024","","","0.360000","5.70%","22.980000","19.430000","19.850000","0.430000","-3.120000","19.770000","20.470000","0.470000","-2.980000","17.960000","22.790000","17.960000","22.790000","35.000000","19.640000","1.680000","-3.150000","42.503660","38.456083","40.790378","46.036036","-3.340000","0.210000","45.601023","70.158550","-3.150000","1.680000","45.474453","76.529210"
"SIGIP","SIGI","","10","11/27/2024","","","0.290000","4.60%","20.740000","15.480000","17.200000","1.810000","-3.450000","17.790000","18.450000","-2.790000","-6.310000","16.820000","20.300000","15.170000","20.300000","5.000000","17.020000","0.200000","-3.280000","61.595900","52.989634","81.477663","47.909910","-3.720000","1.540000","49.488491","58.108720","-3.280000","1.850000","47.372263","74.971363"
"SLG PRI","SLG","","9.5","12/17/2024","","","0.410000","6.50%","25.670000","18.150000","22.050000","3.900000","-3.620000","22.660000","22.770000","-2.700000","-3.150000","21.090000","24.870000","15.260000","24.870000","25.000000","21.750000","0.660000","-3.120000","61.068814","39.198036","68.831615","45.603604","-3.920000","3.600000","51.534527","39.445074","-3.120000","6.490000","45.036496","32.451317"
"SOJC","SO","BB","11.5","11/29/2024","","","0.330000","5.25%","25.690000","20.750000","21.590000","0.840000","-4.100000","21.940000","23.090000","-1.620000","-6.510000","21.100000","25.070000","20.350000","25.070000","7.000000","21.290000","0.190000","-3.780000","54.743777","53.862520","81.752577","55.117117","-4.400000","0.540000","56.445013","67.168743","-3.780000","0.940000","54.671533","83.310424"
"SOJD","SO","BB","11.5","10/29/2024","","","0.310000","4.95%","23.860000","19.450000","20.110000","0.660000","-3.750000","20.650000","21.840000","-2.620000","-7.940000","19.260000","24.550000","19.260000","24.550000","66.000000","20.030000","0.770000","-4.520000","60.600293","60.103655","65.807560","65.783784","-3.830000","0.580000","50.613811","66.806342","-4.520000","0.770000","65.474453","84.868270"
"SOJE","SO","BB","11.5","1/10/2025","","","0.260000","4.20%","20.960000","17.420000","17.640000","0.190000","-3.350000","18.270000","19.620000","-3.610000","-10.220000","17.280000","22.350000","17.280000","22.350000","49.000000","17.490000","0.210000","-4.860000","66.398243","70.054555","81.202749","70.684685","-3.470000","0.070000","46.930946","71.426954","-4.860000","0.210000","70.437956","90.000000"
"SR PRA","SR","","11","10/25/2024","8/15/2024","","0.370000","5.90%","26.150000","21.870000","24.090000","2.220000","-2.060000","24.310000","24.340000","-0.890000","-1.020000","23.200000","25.390000","21.360000","25.390000","62.000000","23.970000","0.770000","-1.420000","50.468521","29.901800","65.807560","21.099099","-2.180000","2.100000","33.734015","53.035108","-1.420000","2.610000","20.218978","68.006873"
"SREA","SRE","BB","11.5","12/13/2024","","","0.360000","5.75%","25.240000","21.160000","20.500000","-0.660000","-4.740000","21.970000","23.420000","-6.690000","-12.480000","19.600000","25.240000","19.600000","25.470000","21.000000","20.220000","0.620000","-5.020000","84.436310","79.918167","69.931271","72.990991","-5.020000","-0.940000","62.787724","80.577576","-5.250000","0.620000","76.131387","86.242841"
"STT PRG","STT","","13","11/27/2024","","","0.330000","5.35%","26.900000","21.630000","22.280000","0.650000","-4.620000","23.100000","24.000000","-3.540000","-7.170000","21.620000","25.160000","21.420000","25.160000","5.000000","21.970000","0.350000","-3.190000","65.988287","56.743044","77.353952","46.612613","-4.930000","0.340000","61.867008","68.980747","-3.190000","0.550000","46.058394","86.884307"
"SYF PRA","SYF","","NR","10/30/2024","11/15/2024","","0.350000","5.63%","22.140000","15.280000","17.810000","2.530000","-4.330000","18.460000","19.260000","-3.540000","-7.530000","16.190000","21.940000","14.510000","21.940000","67.000000","17.720000","1.530000","-4.220000","65.988287","58.314239","44.914089","61.459459","-4.420000","2.440000","56.649616","49.954700","-4.220000","3.210000","61.094891","62.508591"
"T PRA","T","","10","1/7/2025","12/12/2024","","0.310000","5.00%","23.490000","18.310000","20.110000","1.800000","-3.380000","20.560000","21.210000","-2.170000","-5.190000","19.150000","22.780000","18.200000","22.800000","46.000000","19.960000","0.810000","-2.820000","57.964861","48.101473","64.707904","41.279279","-3.530000","1.650000","47.544757","57.112118","-2.840000","1.760000","40.948905","75.796105"
"T PRC","T","","10","1/7/2025","2/18/2025","","0.300000","4.75%","21.550000","17.250000","19.130000","1.880000","-2.420000","19.390000","20.080000","-1.320000","-4.710000","18.200000","21.710000","17.020000","21.710000","46.000000","18.980000","0.780000","-2.730000","52.986823","46.006547","65.532646","39.981982","-2.570000","1.730000","37.723785","56.387316","-2.730000","1.960000","39.343066","73.963345"
"TBB","T","BB","12","10/17/2024","","","0.330000","5.35%","24.980000","20.320000","22.080000","1.760000","-2.900000","23.350000","23.540000","-5.440000","-6.220000","21.750000","24.900000","20.260000","24.900000","54.000000","21.950000","0.200000","-2.950000","77.115666","52.596836","81.477663","43.153153","-3.030000","1.630000","42.429668","57.293318","-2.950000","1.690000","42.554745","76.437572"
"TBC","T","BB","12","10/17/2024","8/1/2023","","0.350000","5.63%","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCBIO","TCBI","","8","12/2/2024","6/15/2026","","0.360000","5.75%","24.500000","16.010000","20.030000","4.020000","-4.470000","20.210000","20.260000","-0.910000","-1.120000","18.110000","22.710000","15.520000","22.710000","10.000000","19.710000","1.600000","-3.000000","50.585652","30.338243","42.989691","43.873874","-4.790000","3.700000","60.434783","38.539071","-3.000000","4.190000","43.284672","53.528064"
"TDS PRU","TDS","","7","12/13/2024","","","0.410000","6.63%","24.250000","14.260000","21.020000","6.760000","-3.230000","20.930000","20.640000","0.440000","1.840000","18.710000","22.880000","12.000000","22.880000","21.000000","20.710000","2.000000","-2.170000","42.679356","17.419531","31.993127","31.909910","-3.540000","6.450000","47.647059","13.624009","-2.170000","8.710000","31.167883","12.107675"
"TDS PRV","TDS","","7","12/13/2024","9/30/2026","","0.380000","6.00%","22.280000","12.880000","18.770000","5.890000","-3.510000","18.340000","18.310000","2.320000","2.490000","16.250000","20.480000","10.790000","20.480000","21.000000","18.480000","2.230000","-2.000000","31.669107","14.582651","25.670103","29.459459","-3.800000","5.600000","50.306905","21.325028","-2.000000","7.690000","28.686131","21.454754"
"TFC PRO","TFC","","11.5","11/8/2024","","","0.330000","5.25%","25.200000","19.780000","21.010000","1.230000","-4.190000","21.760000","22.530000","-3.440000","-6.750000","19.690000","24.830000","19.430000","24.830000","76.000000","20.960000","1.270000","-3.870000","65.402635","54.909984","52.061856","56.414414","-4.240000","1.180000","54.808184","61.370328","-3.870000","1.530000","55.985401","77.903780"
"TFC PRR","TFC","","11.5","11/8/2024","","","0.300000","4.75%","22.490000","17.710000","18.840000","1.130000","-3.650000","19.790000","20.390000","-4.800000","-7.600000","18.410000","22.620000","17.290000","22.620000","76.000000","18.790000","0.380000","-3.830000","73.367496","58.619749","76.529210","55.837838","-3.700000","1.080000","49.283887","62.276331","-3.830000","1.500000","55.401460","78.178694"
"TRTN PRD","-","","NR","12/6/2024","3/15/2025","","0.430000","6.88%","25.950000","21.620000","21.420000","-0.190000","-4.520000","22.350000","23.410000","-4.100000","-8.480000","19.760000","25.670000","19.760000","25.670000","14.000000","21.070000","1.310000","-4.600000","69.267936","62.460447","50.962199","66.936937","-4.880000","-0.550000","61.355499","77.044168","-4.600000","1.310000","66.642336","79.919817"
"TRTN PRE","-","","NR","12/6/2024","","","0.360000","5.75%","23.790000","17.800000","18.800000","1.000000","-4.990000","19.180000","20.600000","-1.990000","-8.750000","16.900000","23.300000","16.900000","23.300000","14.000000","18.500000","1.600000","-4.800000","56.910688","63.638843","42.989691","69.819820","-5.290000","0.700000","65.549872","65.719139","-4.800000","1.600000","69.562044","77.262314"
"TRTX PRC","TRTX","","NR","12/16/2024","6/14/2026","","0.390000","6.25%","18.830000","13.810000","18.080000","4.260000","-0.760000","17.790000","18.000000","1.560000","0.400000","16.010000","20.000000","13.000000","20.000000","24.000000","17.780000","1.770000","-2.220000","36.120059","23.704310","38.316151","32.630631","-1.050000","3.970000","22.173913","36.092865","-2.220000","4.780000","31.897810","48.121420"
"TY PR","TY","","NR","12/5/2024","","","0.310000","5.00%","50.110000","43.500000","43.980000","0.480000","-6.130000","44.830000","45.840000","-1.900000","-4.070000","43.550000","49.160000","42.000000","49.190000","13.000000","43.710000","0.160000","-5.450000","56.383602","43.213312","82.577320","79.189189","-6.400000","0.210000","76.905371","70.158550","-5.480000","1.710000","79.489051","76.254296"
"UNMA","UNM","BB","10","11/29/2024","","","0.390000","6.25%","26.190000","21.920000","24.560000","2.640000","-1.630000","24.550000","24.920000","0.040000","-1.430000","23.130000","26.050000","21.490000","26.050000","7.000000","24.200000","1.070000","-1.850000","45.021962","31.691217","57.560137","27.297297","-1.990000","2.280000","31.790281","51.404304","-1.850000","2.710000","26.496350","67.090493"
"USB PRP","USB","","13.5","12/30/2024","","","0.340000","5.50%","25.250000","19.750000","","3.010000","-2.490000","23.250000","23.960000","-2.120000","-4.990000","21.460000","25.430000","19.000000","25.430000","38.000000","22.560000","1.100000","-2.870000","57.672035","47.228587","56.735395","42.000000","-2.690000","2.810000","38.951407","46.602492","-2.870000","3.560000","41.386861","59.301260"
"USB PRQ","USB","","13.5","12/27/2024","","","0.230000","3.75%","19.570000","13.500000","15.420000","1.920000","-4.150000","15.920000","16.780000","-3.160000","-8.090000","14.660000","18.600000","13.320000","18.600000","35.000000","15.280000","0.620000","-3.320000","63.762811","60.758320","69.931271","48.486486","-4.290000","1.780000","55.319693","55.934315","-3.320000","1.960000","47.956204","73.963345"
"USB PRR","USB","","13.5","12/27/2024","","","0.250000","4.00%","21.050000","14.570000","16.400000","1.830000","-4.650000","17.010000","17.890000","-3.570000","-8.350000","15.620000","20.350000","14.240000","20.350000","35.000000","16.250000","0.630000","-4.100000","66.163982","61.893071","69.656357","59.729730","-4.800000","1.680000","60.537084","56.840317","-4.100000","2.010000","59.343066","73.505155"
"USB PRS","USB","","13.5","12/27/2024","","","0.280000","4.50%","22.080000","16.440000","18.710000","2.270000","-3.370000","19.390000","20.320000","-3.520000","-7.910000","18.070000","22.970000","16.220000","22.970000","35.000000","18.540000","0.470000","-4.430000","65.871157","59.972722","74.054983","64.486486","-3.540000","2.100000","47.647059","53.035108","-4.430000","2.320000","64.160584","70.664376"
"UZD","USM","BB","9.5","11/29/2024","9/1/2025","","0.390000","6.25%","24.160000","16.770000","23.840000","7.070000","-0.320000","23.620000","23.050000","0.950000","3.410000","22.000000","24.200000","14.860000","24.800000","7.000000","23.480000","1.480000","-0.720000","39.692533","10.567376","46.288660","11.009009","-0.680000","6.710000","18.388747","11.268403","-1.320000","8.620000","18.759124","12.932417"
"UZE","USM","BB","9.5","11/29/2024","","","0.340000","5.50%","21.800000","14.930000","22.090000","7.160000","0.290000","21.880000","21.500000","0.960000","2.730000","20.250000","23.220000","13.000000","23.800000","7.000000","21.780000","1.530000","-1.440000","39.633968","13.535188","44.914089","21.387387","-0.020000","6.850000","11.636829","10.000000","-2.020000","8.780000","28.978102","11.466208"
"UZF","USM","BB","9.5","11/29/2024","6/1/2026","","0.340000","5.50%","21.750000","15.440000","22.200000","6.760000","0.450000","21.920000","21.510000","1.280000","3.200000","20.300000","23.500000","12.950000","23.700000","7.000000","21.890000","1.590000","-1.610000","37.759883","11.483906","43.264605","23.837838","0.140000","6.450000","10.000000","13.624009","-1.810000","8.940000","25.912409","10.000000"
