PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,Normalized_COM_6M,Normalized_COM_3M,Normalized_52W_LOW,FINAL_THG,CS_FACTOR,Group,Normalized_THG,Normalized_ADV,Raw_Size,Recommended_Shares,Scaled_Shares,Final_Shares
ACR PRD,ACR-D,ACR,,,8.0,07/01/2025,5/21/2026,NONE,0.49,7.88%,20.5,18.57,7.39,Reit,,41.0,,,,,,20.78,2.21,0.28,21.46,22.1,-3.15,-5.97,18.12,23.64,16.75,24.49,20.51,2.39,-3.13,63.25,67.88,40.74,50.55,-3.98,3.76,55.19,66.51,6469.0,8111.0,6213.0,6931.0,50.85,,,,439.98,1.0,2.0,0.17607887080952697,0.0630819015650787,153.47947696063733,200,500,200
APOS,APOS,APO,NFF,,13.0,05/30/2025,12/15/2028,9/15/2053,0.48,7.63%,,,571.72,Assetmanagement,,9.0,,,,,,26.47,,,26.51,26.75,-0.13,-1.06,24.89,27.74,24.89,27.77,26.04,1.15,-1.7,48.65,50.48,63.03,30.83,-1.73,1.15,28.36,81.43,28838.0,32435.0,39042.0,33438.0,72.88,,,,438.39,1.0,0.0,0.16980426196316004,0.14798574741549578,165.4405590536272,200,500,200
SOJF,SOJF,SO,,,8.0,05/15/2025,3/15/2030,3/15/2085,0.41,6.50%,,,1098.51,Utility,,84.0,,,,,,25.59,,,,,,,24.92,26.99,24.92,26.99,25.56,0.64,-1.43,44.14,40.14,72.2,27.1,-1.43,0.64,24.78,84.34,120609.0,120609.0,33316.0,91511.0,75.46,63.56,67.74,62.11,433.2,1.0,0.0,0.14985944499663886,0.37719328586948686,195.32621317120845,200,500,200
WCC PRA,WCC-A,WCC,NFF,,8.0,05/28/2025,6/22/2025,NONE,0.66,10.63%,,,48.81,Industrialdistribution,,7.0,,,,,,25.5,,,25.56,25.91,-0.23,-1.59,25.24,26.48,25.24,27.39,24.89,-0.35,-1.59,49.13,52.36,90.0,29.31,-2.5,-0.35,37.54,90.0,54381.0,62341.0,70414.0,62379.0,58.66,,,,425.56,1.0,9.0,0.12205442709938835,0.25617982292224284,148.87950626395923,100,250,200
PNFPP,PNFPP,PNFP,,,8.0,06/20/2025,9/1/2025,NONE,0.42,6.75%,26.08,21.0,77.52,Regionalbank,,30.0,,,,,,24.08,3.08,-2.0,24.63,24.32,-2.24,-0.97,23.76,25.29,20.5,25.29,23.8,0.04,-1.49,58.85,50.16,82.99,27.93,-1.49,3.3,25.5,69.14,12451.0,12004.0,14185.0,12880.0,60.61,,,,424.33,1.0,6.0,0.11775831245045519,0.08064974363462064,110.33659868728829,100,250,200
UMH PRD,UMH-D,UMH,,,12.5,06/27/2025,1/22/2023,NONE,0.4,6.38%,25.57,20.85,83.91,Reit,,37.0,,,,,,22.19,1.34,-3.38,22.44,23.0,-1.11,-3.52,20.99,24.38,19.83,24.42,21.95,0.96,-2.43,53.39,59.2,66.45,40.9,-2.47,2.12,37.18,75.89,20678.0,19223.0,9877.0,16593.0,55.38,,,,419.6,1.0,9.0,0.10172415780556587,0.09209552612854141,99.79843147016099,100,250,200
GAINL,GAINL,GAIN,,BB,8.0,07/15/2025,8/1/2025,8/1/2028,0.5,8.00%,,25.07,36.84,Assetmanagement,,55.0,,,,,,25.46,0.39,,25.69,25.75,-0.9,-1.13,25.27,26.66,24.7,27.13,25.27,0.0,-1.39,52.37,50.73,83.71,26.55,-1.86,0.57,29.91,84.74,3410.0,3359.0,1848.0,2872.0,57.78,,,,407.09,1.0,1.0,0.06330427309285296,0.05169889328787341,60.98319713185705,100,250,200
SPNT PRB,SPNT-B,SPNT,NFF,,8.0,06/13/2025,2/26/2026,NONE,0.5,8.00%,,,116.79,Insurance,,23.0,,,,,,25.18,,,25.3,25.35,-0.46,-0.68,24.75,25.78,23.0,25.78,24.81,0.06,-0.97,50.24,49.13,82.63,20.76,-0.97,1.81,19.3,77.66,18402.0,21608.0,12335.0,17448.0,60.89,,,,404.61,1.0,9.0,0.05643390217822765,0.09477995984553758,64.10311371168964,100,250,200
CGBDL,CGBDL,CGBD,,,8.0,05/15/2025,,,0.51,,,,72.90,Assetmanagement,,84.0,,,,,,25.28,,,25.73,25.66,-1.74,-1.49,25.05,26.66,25.05,26.66,25.25,0.2,-1.41,56.43,52.0,80.11,26.83,-1.41,0.2,24.55,86.86,8504.0,9765.0,6241.0,8170.0,51.28,,,,401.72,1.0,1.0,0.04876693885429574,0.06665771004783681,52.34509309300396,100,250,200
ABLLL,ABLLL,ABL,,BB,8.0,05/13/2025,2/15/2027,11/15/2028,0.62,9.88%,,,95.62,Insurance,,82.0,,,,,,25.49,,,26.12,26.23,-2.44,-2.86,24.09,38.5,24.09,38.5,25.42,1.33,-13.08,59.82,56.86,59.8,16.48,-13.08,1.33,16.44,80.4,10200.0,13469.0,7763.0,10477.0,49.17,,,,401.11,1.0,1.0,0.047196886743297965,0.07343431315898302,52.444372026434976,100,250,200
CMRE PRB,CMRE-B,CMRE,,,8.0,07/10/2025,8/6/2018,NONE,0.48,7.63%,25.18,24.82,119.96,Marineshipping,,50.0,,,,,,24.97,0.15,-0.21,25.45,25.69,-1.89,-2.81,24.02,26.34,22.13,28.16,24.76,0.74,-1.58,57.16,56.68,70.4,29.17,-3.4,2.63,48.27,72.97,1565.0,2224.0,3090.0,2293.0,47.34,,,,399.88,1.0,8.0,0.044083612802084865,0.05011872336272723,45.29063491421334,0,0,200
CMRE PRC,CMRE-C,CMRE,,,8.0,07/10/2025,1/21/2019,NONE,0.53,8.50%,25.32,25.17,119.96,Marineshipping,,50.0,,,,,,25.5,0.33,0.18,25.98,26.09,-1.84,-2.27,25.05,27.19,23.61,27.19,25.26,0.21,-1.93,56.92,54.77,79.93,34.0,-1.93,1.65,30.75,78.57,3258.0,3984.0,5382.0,4208.0,47.34,,,,397.48,1.0,1.0,0.03821676166912739,0.05538755438713949,41.650920212729815,0,0,200
GAM PRB,GAM-B,GAM,,,8.0,06/09/2025,9/24/2008,NONE,0.37,5.95%,26.21,24.28,27.06,Cef,,19.0,,,,,,24.99,0.71,-1.22,24.97,25.18,0.07,-0.76,24.55,26.24,23.74,26.24,24.7,0.15,-1.54,47.68,49.42,81.01,28.62,-1.54,0.96,26.1,82.51,8381.0,10788.0,5647.0,8272.0,59.02,,,,397.21,1.0,8.0,0.037574382768248794,0.06695410177657869,43.45032656991478,0,0,200
SCCE,SCCE,SACH,,BB,8.0,06/13/2025,3/9/2024,3/30/2027,0.38,6.00%,23.08,20.88,47.31,Reit,,23.0,,,,,,19.22,-1.66,-3.86,19.6,20.89,-1.95,-7.99,18.05,22.53,18.05,23.33,18.94,0.89,-3.59,57.45,75.04,67.71,56.9,-4.39,0.89,60.07,82.91,6088.0,5481.0,4388.0,5319.0,28.32,,,,397.13,1.0,8.0,0.03738474640480089,0.058498953067505396,41.607587737341795,0,0,200
WTFCP,WTFCP,WTFC,NFF,,8.0,07/14/2025,7/15/2025,NONE,0.43,6.88%,,,66.87,Regionalbank,,54.0,,,,,,25.16,,,25.16,25.09,0.01,0.28,24.68,25.49,22.47,25.49,24.99,0.31,-0.5,47.97,45.73,78.13,14.28,-0.5,2.52,13.7,73.6,36638.0,48974.0,35836.0,40483.0,61.05,,,,394.63,1.0,6.0,0.0316227766016838,0.17303957570544137,59.90613642243532,100,250,200
