PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,Normalized_COM_6M,Normalized_COM_3M,Normalized_52W_LOW,FINAL_THG,CS_FACTOR,Group
ANG PRB,ANG-B,-,FF,,9.0,05/16/2025,9/1/2025,NONE,0.41,6.63%,,,-,-,,85.0,,,,,,24.9,,,25.11,25.0,-0.82,-0.39,24.55,25.9,22.0,25.9,24.88,0.33,-1.02,51.98,48.1,77.78,21.45,-1.02,2.88,19.9,71.54,42941.0,60864.0,46380.0,50061.0,42.16,,,,365.29,1.0,5.0
ANG PRD,ANG-D,-,,,9.0,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,40.0,,,,,,25.61,,,,,,,23.54,26.54,23.54,26.54,25.34,1.8,-1.2,44.14,40.14,51.35,23.93,-1.2,1.8,22.04,77.71,46621.0,46621.0,13809.0,35683.0,42.16,,,,327.31,1.0,3.0
ANG PRD,ANG-D,-,,,9.0,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,40.0,,,,,,25.61,,,,,,,23.54,26.54,23.54,26.54,25.34,1.8,-1.2,44.14,40.14,51.35,23.93,-1.2,1.8,22.04,77.71,46621.0,46621.0,13809.0,35683.0,42.16,,,,327.31,1.0,3.0
ANG PRD,ANG-D,-,,,9.0,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,40.0,,,,,,25.61,,,,,,,23.54,26.54,23.54,26.54,25.34,1.8,-1.2,44.14,40.14,51.35,23.93,-1.2,1.8,22.04,77.71,46621.0,46621.0,13809.0,35683.0,42.16,,,,327.31,1.0,3.0
ANG PRD,ANG-D,-,,,9.0,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,40.0,,,,,,25.61,,,,,,,23.54,26.54,23.54,26.54,25.34,1.8,-1.2,44.14,40.14,51.35,23.93,-1.2,1.8,22.04,77.71,46621.0,46621.0,13809.0,35683.0,42.16,,,,327.31,1.0,3.0
ANG PRD,ANG-D,-,,,9.0,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,40.0,,,,,,25.61,,,,,,,23.54,26.54,23.54,26.54,25.34,1.8,-1.2,44.14,40.14,51.35,23.93,-1.2,1.8,22.04,77.71,46621.0,46621.0,13809.0,35683.0,42.16,,,,327.31,1.0,3.0
AOMN,AOMN,AOMR,,BB,8.0,07/14/2025,7/30/2026,7/30/2029,0.59,9.50%,,,23.50,Reit,,54.0,,,,,,24.96,,,,,,,23.6,26.1,23.6,26.1,24.72,1.12,-1.38,44.14,40.14,63.57,26.41,-1.38,1.12,24.19,81.6,8759.0,7653.0,6610.0,7674.0,46.02,,,,335.34,1.0,9.0
APOS,APOS,APO,NFF,,13.0,05/30/2025,12/15/2028,9/15/2053,0.48,7.63%,,,571.72,Assetmanagement,,9.0,,,,,,26.47,,,26.51,26.75,-0.13,-1.06,24.89,27.74,24.89,27.77,26.04,1.15,-1.7,48.65,50.48,63.03,30.83,-1.73,1.15,28.36,81.43,28838.0,32435.0,39042.0,33438.0,72.88,,,,438.39,1.0,0.0
AQNB,AQNB,AQN,FF,,9.0,06/13/2025,7/1/2024,7/1/2079,0.55,6.20%,,,789.65,Utilities,,23.0,,,,,,25.53,,,25.41,25.44,0.49,0.34,24.59,26.5,22.71,26.5,25.12,0.53,-1.38,45.65,45.52,74.18,26.41,-1.38,2.41,24.19,74.23,22389.0,22614.0,27813.0,24272.0,48.36,,,,358.25,1.0,9.0
ARGD,ARGD,-,,BB,9.5,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,-,-,,9.0,,,,,,20.2,-1.11,-4.15,21.08,21.8,-4.18,-7.32,19.19,22.85,19.19,24.24,19.83,0.64,-3.02,68.23,72.67,72.2,49.03,-4.41,0.64,60.31,84.34,8085.0,7536.0,7342.0,7654.0,42.16,,,,451.65,1.0,5.0
ARGD,ARGD,-,,BB,9.5,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,-,-,,9.0,,,,,,20.2,-1.11,-4.15,21.08,21.8,-4.18,-7.32,19.19,22.85,19.19,24.24,19.83,0.64,-3.02,68.23,72.67,72.2,49.03,-4.41,0.64,60.31,84.34,8085.0,7536.0,7342.0,7654.0,42.16,,,,451.65,1.0,5.0
ARGD,ARGD,-,,BB,9.5,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,-,-,,9.0,,,,,,20.2,-1.11,-4.15,21.08,21.8,-4.18,-7.32,19.19,22.85,19.19,24.24,19.83,0.64,-3.02,68.23,72.67,72.2,49.03,-4.41,0.64,60.31,84.34,8085.0,7536.0,7342.0,7654.0,42.16,,,,451.65,1.0,5.0
ARGD,ARGD,-,,BB,9.5,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,-,-,,9.0,,,,,,20.2,-1.11,-4.15,21.08,21.8,-4.18,-7.32,19.19,22.85,19.19,24.24,19.83,0.64,-3.02,68.23,72.67,72.2,49.03,-4.41,0.64,60.31,84.34,8085.0,7536.0,7342.0,7654.0,42.16,,,,451.65,1.0,5.0
ARGD,ARGD,-,,BB,9.5,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,-,-,,9.0,,,,,,20.2,-1.11,-4.15,21.08,21.8,-4.18,-7.32,19.19,22.85,19.19,24.24,19.83,0.64,-3.02,68.23,72.67,72.2,49.03,-4.41,0.64,60.31,84.34,8085.0,7536.0,7342.0,7654.0,42.16,,,,451.65,1.0,5.0
ARGO PRA,ARGO-A,-,NFF,,8.5,05/27/2025,9/15/2025,NONE,0.44,7.00%,,,-,-,,6.0,,,,,,25.21,,,25.06,24.89,0.58,1.27,24.27,25.36,20.76,25.49,24.8,0.53,-0.56,45.21,42.22,74.18,15.1,-0.69,4.04,15.96,64.91,17994.0,18923.0,15081.0,17333.0,42.16,,,,326.75,1.0,2.0
ARGO PRA,ARGO-A,-,NFF,,8.5,05/27/2025,9/15/2025,NONE,0.44,7.00%,,,-,-,,6.0,,,,,,25.21,,,25.06,24.89,0.58,1.27,24.27,25.36,20.76,25.49,24.8,0.53,-0.56,45.21,42.22,74.18,15.1,-0.69,4.04,15.96,64.91,17994.0,18923.0,15081.0,17333.0,42.16,,,,326.75,1.0,2.0
ARGO PRA,ARGO-A,-,NFF,,8.5,05/27/2025,9/15/2025,NONE,0.44,7.00%,,,-,-,,6.0,,,,,,25.21,,,25.06,24.89,0.58,1.27,24.27,25.36,20.76,25.49,24.8,0.53,-0.56,45.21,42.22,74.18,15.1,-0.69,4.04,15.96,64.91,17994.0,18923.0,15081.0,17333.0,42.16,,,,326.75,1.0,2.0
ARGO PRA,ARGO-A,-,NFF,,8.5,05/27/2025,9/15/2025,NONE,0.44,7.00%,,,-,-,,6.0,,,,,,25.21,,,25.06,24.89,0.58,1.27,24.27,25.36,20.76,25.49,24.8,0.53,-0.56,45.21,42.22,74.18,15.1,-0.69,4.04,15.96,64.91,17994.0,18923.0,15081.0,17333.0,42.16,,,,326.75,1.0,2.0
ARGO PRA,ARGO-A,-,NFF,,8.5,05/27/2025,9/15/2025,NONE,0.44,7.00%,,,-,-,,6.0,,,,,,25.21,,,25.06,24.89,0.58,1.27,24.27,25.36,20.76,25.49,24.8,0.53,-0.56,45.21,42.22,74.18,15.1,-0.69,4.04,15.96,64.91,17994.0,18923.0,15081.0,17333.0,42.16,,,,326.75,1.0,2.0
ARR PRC,ARR-C,ARR,,,8.0,05/15/2025,1/28/2025,,0.15,7.00%,22.6,18.06,81.90,Reit,,84.0,,,,,,20.6,2.54,-2.0,21.26,21.64,-3.12,-4.79,19.27,23.58,17.85,23.58,20.59,1.32,-2.99,63.11,63.7,59.98,48.62,-2.99,2.74,43.38,72.34,10999.0,10576.0,9895.0,10490.0,42.08,,,,414.65,1.0,2.0
ASBA,ASBA,ASB,NFF,,11.0,05/15/2025,3/1/2028,3/1/2033,0.41,6.63%,,,165.95,Regionalbank,,84.0,,,,,,24.21,,,24.4,24.03,-0.76,0.73,22.99,25.3,18.82,25.3,24.18,1.19,-1.12,51.69,44.13,62.31,22.83,-1.12,5.36,21.09,57.37,18574.0,16227.0,14883.0,16561.0,61.01,43.61,52.55,74.43,389.17,1.0,3.0
ASBA,ASBA,ASB,NFF,,11.0,05/15/2025,3/1/2028,3/1/2033,0.41,6.63%,,,165.95,Regionalbank,,84.0,,,,,,24.21,,,24.4,24.03,-0.76,0.73,22.99,25.3,18.82,25.3,24.18,1.19,-1.12,51.69,44.13,62.31,22.83,-1.12,5.36,21.09,57.37,18574.0,16227.0,14883.0,16561.0,61.01,43.61,52.55,74.43,389.17,1.0,3.0
ATCO PRD,ATCO-D,-,,,8.0,07/25/2025,1/30/2018,NONE,0.5,7.95%,25.27,23.86,-,-,,65.0,,,,,,25.09,1.23,-0.18,25.06,25.03,0.12,0.23,24.14,25.98,22.0,25.98,24.95,0.81,-1.03,47.44,45.91,69.15,21.59,-1.03,2.95,20.01,71.14,3922.0,4633.0,5822.0,4792.0,42.16,,,,338.04,1.0,9.0
ATCO PRD,ATCO-D,-,,,8.0,07/25/2025,1/30/2018,NONE,0.5,7.95%,25.27,23.86,-,-,,65.0,,,,,,25.09,1.23,-0.18,25.06,25.03,0.12,0.23,24.14,25.98,22.0,25.98,24.95,0.81,-1.03,47.44,45.91,69.15,21.59,-1.03,2.95,20.01,71.14,3922.0,4633.0,5822.0,4792.0,42.16,,,,338.04,1.0,9.0
ATCO PRD,ATCO-D,-,,,8.0,07/25/2025,1/30/2018,NONE,0.5,7.95%,25.27,23.86,-,-,,65.0,,,,,,25.09,1.23,-0.18,25.06,25.03,0.12,0.23,24.14,25.98,22.0,25.98,24.95,0.81,-1.03,47.44,45.91,69.15,21.59,-1.03,2.95,20.01,71.14,3922.0,4633.0,5822.0,4792.0,42.16,,,,338.04,1.0,9.0
ATCO PRD,ATCO-D,-,,,8.0,07/25/2025,1/30/2018,NONE,0.5,7.95%,25.27,23.86,-,-,,65.0,,,,,,25.09,1.23,-0.18,25.06,25.03,0.12,0.23,24.14,25.98,22.0,25.98,24.95,0.81,-1.03,47.44,45.91,69.15,21.59,-1.03,2.95,20.01,71.14,3922.0,4633.0,5822.0,4792.0,42.16,,,,338.04,1.0,9.0
ATCO PRD,ATCO-D,-,,,8.0,07/25/2025,1/30/2018,NONE,0.5,7.95%,25.27,23.86,-,-,,65.0,,,,,,25.09,1.23,-0.18,25.06,25.03,0.12,0.23,24.14,25.98,22.0,25.98,24.95,0.81,-1.03,47.44,45.91,69.15,21.59,-1.03,2.95,20.01,71.14,3922.0,4633.0,5822.0,4792.0,42.16,,,,338.04,1.0,9.0
ATCO PRH,ATCO-H,-,,,8.0,07/25/2025,8/11/2021,NONE,0.49,7.88%,24.95,22.38,-,-,,65.0,,,,,,24.97,2.59,0.02,24.87,24.86,0.42,0.46,23.78,25.49,21.28,25.49,24.83,1.05,-0.66,45.99,45.09,64.83,16.48,-0.66,3.55,15.6,67.71,9303.0,10191.0,17783.0,12426.0,42.16,,,,330.88,1.0,9.0
ATCO PRH,ATCO-H,-,,,8.0,07/25/2025,8/11/2021,NONE,0.49,7.88%,24.95,22.38,-,-,,65.0,,,,,,24.97,2.59,0.02,24.87,24.86,0.42,0.46,23.78,25.49,21.28,25.49,24.83,1.05,-0.66,45.99,45.09,64.83,16.48,-0.66,3.55,15.6,67.71,9303.0,10191.0,17783.0,12426.0,42.16,,,,330.88,1.0,9.0
ATCO PRH,ATCO-H,-,,,8.0,07/25/2025,8/11/2021,NONE,0.49,7.88%,24.95,22.38,-,-,,65.0,,,,,,24.97,2.59,0.02,24.87,24.86,0.42,0.46,23.78,25.49,21.28,25.49,24.83,1.05,-0.66,45.99,45.09,64.83,16.48,-0.66,3.55,15.6,67.71,9303.0,10191.0,17783.0,12426.0,42.16,,,,330.88,1.0,9.0
ATCO PRH,ATCO-H,-,,,8.0,07/25/2025,8/11/2021,NONE,0.49,7.88%,24.95,22.38,-,-,,65.0,,,,,,24.97,2.59,0.02,24.87,24.86,0.42,0.46,23.78,25.49,21.28,25.49,24.83,1.05,-0.66,45.99,45.09,64.83,16.48,-0.66,3.55,15.6,67.71,9303.0,10191.0,17783.0,12426.0,42.16,,,,330.88,1.0,9.0
ATCO PRH,ATCO-H,-,,,8.0,07/25/2025,8/11/2021,NONE,0.49,7.88%,24.95,22.38,-,-,,65.0,,,,,,24.97,2.59,0.02,24.87,24.86,0.42,0.46,23.78,25.49,21.28,25.49,24.83,1.05,-0.66,45.99,45.09,64.83,16.48,-0.66,3.55,15.6,67.71,9303.0,10191.0,17783.0,12426.0,42.16,,,,330.88,1.0,9.0
ATCOL,ATCOL,-,,,8.0,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,-,-,,55.0,,,,,,25.06,,,24.94,24.94,0.5,0.46,22.45,25.45,22.45,25.9,24.88,2.43,-0.57,45.6,45.09,40.02,15.24,-1.02,2.43,19.9,74.11,1803.0,2357.0,4993.0,3051.0,42.16,,,,324.16,1.0,1.0
ATCOL,ATCOL,-,,,8.0,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,-,-,,55.0,,,,,,25.06,,,24.94,24.94,0.5,0.46,22.45,25.45,22.45,25.9,24.88,2.43,-0.57,45.6,45.09,40.02,15.24,-1.02,2.43,19.9,74.11,1803.0,2357.0,4993.0,3051.0,42.16,,,,324.16,1.0,1.0
ATCOL,ATCOL,-,,,8.0,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,-,-,,55.0,,,,,,25.06,,,24.94,24.94,0.5,0.46,22.45,25.45,22.45,25.9,24.88,2.43,-0.57,45.6,45.09,40.02,15.24,-1.02,2.43,19.9,74.11,1803.0,2357.0,4993.0,3051.0,42.16,,,,324.16,1.0,1.0
ATCOL,ATCOL,-,,,8.0,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,-,-,,55.0,,,,,,25.06,,,24.94,24.94,0.5,0.46,22.45,25.45,22.45,25.9,24.88,2.43,-0.57,45.6,45.09,40.02,15.24,-1.02,2.43,19.9,74.11,1803.0,2357.0,4993.0,3051.0,42.16,,,,324.16,1.0,1.0
ATCOL,ATCOL,-,,,8.0,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,-,-,,55.0,,,,,,25.06,,,24.94,24.94,0.5,0.46,22.45,25.45,22.45,25.9,24.88,2.43,-0.57,45.6,45.09,40.02,15.24,-1.02,2.43,19.9,74.11,1803.0,2357.0,4993.0,3051.0,42.16,,,,324.16,1.0,1.0
ATH PRA,ATH-A,-,NFF,,11.5,06/13/2025,6/30/2029,NONE,0.4,6.35%,,,-,-,,23.0,,,,,,24.13,,,24.35,24.54,-0.91,-1.66,22.0,25.71,19.81,25.71,23.83,1.83,-1.88,52.42,52.61,50.81,33.31,-1.88,4.02,30.15,65.03,35584.0,38420.0,21300.0,31768.0,42.16,,,,366.18,1.0,3.0
ATH PRA,ATH-A,-,NFF,,11.5,06/13/2025,6/30/2029,NONE,0.4,6.35%,,,-,-,,23.0,,,,,,24.13,,,24.35,24.54,-0.91,-1.66,22.0,25.71,19.81,25.71,23.83,1.83,-1.88,52.42,52.61,50.81,33.31,-1.88,4.02,30.15,65.03,35584.0,38420.0,21300.0,31768.0,42.16,,,,366.18,1.0,3.0
ATH PRA,ATH-A,-,NFF,,11.5,06/13/2025,6/30/2029,NONE,0.4,6.35%,,,-,-,,23.0,,,,,,24.13,,,24.35,24.54,-0.91,-1.66,22.0,25.71,19.81,25.71,23.83,1.83,-1.88,52.42,52.61,50.81,33.31,-1.88,4.02,30.15,65.03,35584.0,38420.0,21300.0,31768.0,42.16,,,,366.18,1.0,3.0
ATH PRA,ATH-A,-,NFF,,11.5,06/13/2025,6/30/2029,NONE,0.4,6.35%,,,-,-,,23.0,,,,,,24.13,,,24.35,24.54,-0.91,-1.66,22.0,25.71,19.81,25.71,23.83,1.83,-1.88,52.42,52.61,50.81,33.31,-1.88,4.02,30.15,65.03,35584.0,38420.0,21300.0,31768.0,42.16,,,,366.18,1.0,3.0
ATH PRA,ATH-A,-,NFF,,11.5,06/13/2025,6/30/2029,NONE,0.4,6.35%,,,-,-,,23.0,,,,,,24.13,,,24.35,24.54,-0.91,-1.66,22.0,25.71,19.81,25.71,23.83,1.83,-1.88,52.42,52.61,50.81,33.31,-1.88,4.02,30.15,65.03,35584.0,38420.0,21300.0,31768.0,42.16,,,,366.18,1.0,3.0
